[2024.06.07 00:04:49 - info ] 4002400 ticks received from exchange SHFE
[2024.06.07 00:04:51 - info ] 4002600 ticks received from exchange SHFE
[2024.06.07 00:04:52 - info ] 897600 ticks received from exchange INE
[2024.06.07 00:04:53 - info ] 4002800 ticks received from exchange SHFE
[2024.06.07 00:04:56 - info ] 4003000 ticks received from exchange SHFE
[2024.06.07 00:04:58 - info ] 4003200 ticks received from exchange SHFE
[2024.06.07 00:05:01 - info ] 4003400 ticks received from exchange SHFE
[2024.06.07 00:05:01 - info ] 897800 ticks received from exchange INE
[2024.06.07 00:05:03 - info ] 4003600 ticks received from exchange SHFE
[2024.06.07 00:05:05 - info ] 4003800 ticks received from exchange SHFE
[2024.06.07 00:05:07 - info ] 4004000 ticks received from exchange SHFE
[2024.06.07 00:05:09 - info ] 4004200 ticks received from exchange SHFE
[2024.06.07 00:05:11 - info ] 898000 ticks received from exchange INE
[2024.06.07 00:05:11 - info ] 4004400 ticks received from exchange SHFE
[2024.06.07 00:05:13 - info ] 4004600 ticks received from exchange SHFE
[2024.06.07 00:05:15 - info ] 4004800 ticks received from exchange SHFE
[2024.06.07 00:05:17 - info ] 4005000 ticks received from exchange SHFE
[2024.06.07 00:05:20 - info ] 4005200 ticks received from exchange SHFE
[2024.06.07 00:05:22 - info ] 898200 ticks received from exchange INE
[2024.06.07 00:05:22 - info ] 4005400 ticks received from exchange SHFE
[2024.06.07 00:05:24 - info ] 4005600 ticks received from exchange SHFE
[2024.06.07 00:05:27 - info ] 4005800 ticks received from exchange SHFE
[2024.06.07 00:05:30 - info ] 4006000 ticks received from exchange SHFE
[2024.06.07 00:05:33 - info ] 4006200 ticks received from exchange SHFE
[2024.06.07 00:05:33 - info ] 898400 ticks received from exchange INE
[2024.06.07 00:05:34 - info ] 4006400 ticks received from exchange SHFE
[2024.06.07 00:05:36 - info ] 4006600 ticks received from exchange SHFE
[2024.06.07 00:05:39 - info ] 4006800 ticks received from exchange SHFE
[2024.06.07 00:05:41 - info ] 4007000 ticks received from exchange SHFE
[2024.06.07 00:05:44 - info ] 4007200 ticks received from exchange SHFE
[2024.06.07 00:05:45 - info ] 898600 ticks received from exchange INE
[2024.06.07 00:05:46 - info ] 4007400 ticks received from exchange SHFE
[2024.06.07 00:05:49 - info ] 4007600 ticks received from exchange SHFE
[2024.06.07 00:05:49 - debug] RT tick block of SHFE.cu2410 resized to 15000
[2024.06.07 00:05:49 - debug] RT tick block of INE.sc2504 resized to 5000
[2024.06.07 00:05:51 - info ] 4007800 ticks received from exchange SHFE
[2024.06.07 00:05:54 - info ] 4008000 ticks received from exchange SHFE
[2024.06.07 00:05:56 - info ] 898800 ticks received from exchange INE
[2024.06.07 00:05:57 - info ] 4008200 ticks received from exchange SHFE
[2024.06.07 00:05:58 - debug] RT tick block of SHFE.pb2412 resized to 5000
[2024.06.07 00:06:01 - info ] 4008400 ticks received from exchange SHFE
[2024.06.07 00:06:04 - info ] 4008600 ticks received from exchange SHFE
[2024.06.07 00:06:06 - info ] 4008800 ticks received from exchange SHFE
[2024.06.07 00:06:09 - info ] 4009000 ticks received from exchange SHFE
[2024.06.07 00:06:10 - info ] 899000 ticks received from exchange INE
[2024.06.07 00:06:12 - info ] 4009200 ticks received from exchange SHFE
[2024.06.07 00:06:15 - info ] 4009400 ticks received from exchange SHFE
[2024.06.07 00:06:18 - info ] 4009600 ticks received from exchange SHFE
[2024.06.07 00:06:21 - info ] 4009800 ticks received from exchange SHFE
[2024.06.07 00:06:23 - info ] 4010000 ticks received from exchange SHFE
[2024.06.07 00:06:24 - info ] 899200 ticks received from exchange INE
[2024.06.07 00:06:26 - info ] 4010200 ticks received from exchange SHFE
[2024.06.07 00:06:29 - info ] 4010400 ticks received from exchange SHFE
[2024.06.07 00:06:32 - info ] 4010600 ticks received from exchange SHFE
[2024.06.07 00:06:35 - info ] 4010800 ticks received from exchange SHFE
[2024.06.07 00:06:35 - info ] 899400 ticks received from exchange INE
[2024.06.07 00:06:37 - info ] 4011000 ticks received from exchange SHFE
[2024.06.07 00:06:40 - info ] 4011200 ticks received from exchange SHFE
[2024.06.07 00:06:43 - info ] 4011400 ticks received from exchange SHFE
[2024.06.07 00:06:45 - info ] 4011600 ticks received from exchange SHFE
[2024.06.07 00:06:48 - info ] 4011800 ticks received from exchange SHFE
[2024.06.07 00:06:48 - info ] 899600 ticks received from exchange INE
[2024.06.07 00:06:50 - info ] 4012000 ticks received from exchange SHFE
[2024.06.07 00:06:53 - info ] 4012200 ticks received from exchange SHFE
[2024.06.07 00:06:55 - info ] 4012400 ticks received from exchange SHFE
[2024.06.07 00:06:57 - info ] 899800 ticks received from exchange INE
[2024.06.07 00:06:58 - info ] 4012600 ticks received from exchange SHFE
[2024.06.07 00:07:00 - info ] 4012800 ticks received from exchange SHFE
[2024.06.07 00:07:02 - info ] 4013000 ticks received from exchange SHFE
[2024.06.07 00:07:04 - info ] 4013200 ticks received from exchange SHFE
[2024.06.07 00:07:07 - info ] 4013400 ticks received from exchange SHFE
[2024.06.07 00:07:07 - debug] RT tick block of SHFE.zn2409 resized to 12500
[2024.06.07 00:07:07 - info ] 900000 ticks received from exchange INE
[2024.06.07 00:07:09 - info ] 4013600 ticks received from exchange SHFE
[2024.06.07 00:07:11 - info ] 4013800 ticks received from exchange SHFE
[2024.06.07 00:07:13 - info ] 4014000 ticks received from exchange SHFE
[2024.06.07 00:07:16 - info ] 4014200 ticks received from exchange SHFE
[2024.06.07 00:07:17 - info ] 4014400 ticks received from exchange SHFE
[2024.06.07 00:07:20 - info ] 4014600 ticks received from exchange SHFE
[2024.06.07 00:07:21 - info ] 900200 ticks received from exchange INE
[2024.06.07 00:07:22 - info ] 4014800 ticks received from exchange SHFE
[2024.06.07 00:07:25 - info ] 4015000 ticks received from exchange SHFE
[2024.06.07 00:07:27 - info ] 4015200 ticks received from exchange SHFE
[2024.06.07 00:07:30 - info ] 4015400 ticks received from exchange SHFE
[2024.06.07 00:07:33 - info ] 4015600 ticks received from exchange SHFE
[2024.06.07 00:07:33 - debug] RT tick block of SHFE.zn2406 resized to 5000
[2024.06.07 00:07:34 - info ] 900400 ticks received from exchange INE
[2024.06.07 00:07:36 - info ] 4015800 ticks received from exchange SHFE
[2024.06.07 00:07:39 - info ] 4016000 ticks received from exchange SHFE
[2024.06.07 00:07:41 - info ] 4016200 ticks received from exchange SHFE
[2024.06.07 00:07:43 - info ] 4016400 ticks received from exchange SHFE
[2024.06.07 00:07:44 - info ] 900600 ticks received from exchange INE
[2024.06.07 00:07:46 - info ] 4016600 ticks received from exchange SHFE
[2024.06.07 00:07:49 - info ] 4016800 ticks received from exchange SHFE
[2024.06.07 00:07:52 - info ] 4017000 ticks received from exchange SHFE
[2024.06.07 00:07:55 - info ] 4017200 ticks received from exchange SHFE
[2024.06.07 00:07:55 - info ] 900800 ticks received from exchange INE
[2024.06.07 00:07:58 - info ] 4017400 ticks received from exchange SHFE
[2024.06.07 00:08:01 - info ] 4017600 ticks received from exchange SHFE
[2024.06.07 00:08:04 - info ] 4017800 ticks received from exchange SHFE
[2024.06.07 00:08:07 - info ] 901000 ticks received from exchange INE
[2024.06.07 00:08:07 - info ] 4018000 ticks received from exchange SHFE
[2024.06.07 00:08:09 - info ] 4018200 ticks received from exchange SHFE
[2024.06.07 00:08:10 - debug] RT tick block of SHFE.cu2409 resized to 15000
[2024.06.07 00:08:12 - info ] 4018400 ticks received from exchange SHFE
[2024.06.07 00:08:14 - info ] 4018600 ticks received from exchange SHFE
[2024.06.07 00:08:14 - debug] RT tick block of SHFE.zn2501 resized to 7500
[2024.06.07 00:08:14 - info ] 901200 ticks received from exchange INE
[2024.06.07 00:08:16 - info ] 4018800 ticks received from exchange SHFE
[2024.06.07 00:08:18 - info ] 4019000 ticks received from exchange SHFE
[2024.06.07 00:08:20 - info ] 4019200 ticks received from exchange SHFE
[2024.06.07 00:08:24 - info ] 4019400 ticks received from exchange SHFE
[2024.06.07 00:08:26 - info ] 901400 ticks received from exchange INE
[2024.06.07 00:08:27 - info ] 4019600 ticks received from exchange SHFE
[2024.06.07 00:08:30 - info ] 4019800 ticks received from exchange SHFE
[2024.06.07 00:08:34 - info ] 4020000 ticks received from exchange SHFE
[2024.06.07 00:08:36 - info ] 4020200 ticks received from exchange SHFE
