date,closeprofit,positionprofit,dynbalance,fee
20170228,162960.00000005373,0,143497.1100000537,19462.890000000018
20170301,162960.00000005373,0,143497.1100000537,19462.890000000018
20170302,162960.00000005373,0,143497.1100000537,19462.890000000018
20170303,162960.00000005373,0,143497.1100000537,19462.890000000018
20170306,162960.00000005373,0,143497.1100000537,19462.890000000018
20170307,162960.00000005373,3000,146449.81000005372,19510.190000000017
20170308,162960.00000005373,1680.0000000001091,145129.81000005384,19510.190000000017
20170309,162960.00000005373,-14279.999999999836,129169.81000005388,19510.190000000017
20170310,162960.00000005373,-12600,130849.81000005371,19510.190000000017
20170313,145320.00000005396,0,125762.91000005393,19557.09000000002
20170314,145320.00000005396,0,125762.91000005393,19557.09000000002
20170315,145320.00000005396,0,125762.91000005393,19557.09000000002
20170316,145320.00000005396,-2039.9999999997817,123675.16000005417,19604.84000000002
20170317,145320.00000005396,-31800,93915.16000005393,19604.84000000002
20170320,145320.00000005396,-25559.999999999945,100155.16000005399,19604.84000000002
20170321,145320.00000005396,-15119.99999999989,110595.16000005405,19604.84000000002
20170322,145320.00000005396,-23279.999999999836,102435.16000005411,19604.84000000002
20170323,145320.00000005396,-15839.999999999782,109875.16000005417,19604.84000000002
20170324,145320.00000005396,13920.000000000164,139635.1600000541,19604.84000000002
20170327,145320.00000005396,480.00000000010914,126195.16000005405,19604.84000000002
20170328,145320.00000005396,-1319.9999999998909,124395.16000005405,19604.84000000002
20170329,145320.00000005396,-2159.9999999999454,123555.16000005399,19604.84000000002
20170330,137880.0000000542,0,118227.58000005418,19652.42000000002
20170331,137880.0000000542,0,118227.58000005418,19652.42000000002
20170405,137880.0000000542,15000,133179.53000005416,19700.47000000002
20170406,150480.00000005445,0,130731.19000005443,19748.81000000002
20170407,150480.00000005445,0,130731.19000005443,19748.81000000002
20170410,150480.00000005445,0,130731.19000005443,19748.81000000002
20170411,150480.00000005445,1080.0000000001091,131762.80000005456,19797.20000000002
20170412,150480.00000005445,6480.000000000109,137162.80000005456,19797.20000000002
20170413,150480.00000005445,-1079.9999999998363,129602.80000005462,19797.20000000002
20170414,150480.00000005445,17880.00000000011,148562.80000005456,19797.20000000002
20170417,150480.00000005445,20640.000000000055,151322.8000000545,19797.20000000002
20170418,150480.00000005445,26520.000000000164,157202.80000005462,19797.20000000002
20170419,150480.00000005445,40080.00000000011,170762.80000005456,19797.20000000002
20170420,187440.00000005466,0,167595.26000005464,19844.74000000002
20170421,187440.00000005466,0,167595.26000005464,19844.74000000002
20170424,187440.00000005466,12360.000000000218,179907.94000005486,19892.06000000002
20170425,191640.00000005492,0,171700.7200000549,19939.28000000002
20170426,191640.00000005492,0,171700.7200000549,19939.28000000002
20170427,191640.00000005492,0,171700.7200000549,19939.28000000002
20170428,191640.00000005492,0,171700.7200000549,19939.28000000002
20170502,191640.00000005492,0,171700.7200000549,19939.28000000002
20170503,184080.00000005524,0,164046.6500000552,20033.35000000002
20170504,184080.00000005524,0,164046.6500000552,20033.35000000002
20170505,184080.00000005524,0,164046.6500000552,20033.35000000002
20170508,184080.00000005524,0,164046.6500000552,20033.35000000002
20170509,184080.00000005524,0,164046.6500000552,20033.35000000002
20170510,184080.00000005524,8159.999999999945,172160.59000005515,20079.41000000002
20170511,184080.00000005524,-2400,161600.5900000552,20079.41000000002
