code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
CFFEX.IF.HOT,LONG,201111171350,2691.8,201111221130,2591.8,2,-60000,2520,-61080,257677,DT_EnterLong,DT_ExitLong,20879,21031
CFFEX.IF.HOT,SHORT,201111231025,2596,201112081305,2558.2,2,22680,58200,-27600,280286,DT_EnterShort,DT_ExitShort,21072,21680
CFFEX.IF.HOT,SHORT,201112120925,2495.4,201112141130,2435.8,2,35760,42120,-9600,315978,DT_EnterShort,DT_ExitShort,21762,21895
CFFEX.IF.HOT,SHORT,201112161340,2355,201112161420,2373,2,-10800,1200,-12960,305113,DT_EnterShort,DT_ExitShort,22011,22019
CFFEX.IF.HOT,LONG,201112161435,2395,201201300945,2478.8,2,50280,81240,-73200,355325,DT_EnterLong,DT_ExitLong,22022,23278
CFFEX.IF.HOT,LONG,201202011010,2476.8,201203141345,2677.8,2,120600,135600,-28680,475854,DT_EnterLong,DT_ExitLong,23391,25036
CFFEX.IF.HOT,SHORT,201203161305,2600.4,201203291400,2464.4,2,81600,93840,-20400,557384,DT_EnterShort,DT_ExitShort,25136,25633
CFFEX.IF.HOT,SHORT,201203301050,2455.6,201204050925,2449.4,2,3720,9840,-8760,561037,DT_EnterShort,DT_ExitShort,25667,25704
CFFEX.IF.HOT,SHORT,201204061415,2506,201204121320,2548,2,-25200,27000,-25320,535767,DT_EnterShort,DT_ExitShort,25798,26003
CFFEX.IF.HOT,LONG,201204161340,2584.8,201204191130,2603.2,2,11040,20400,-23160,546735,DT_EnterLong,DT_ExitLong,26115,26269
CFFEX.IF.HOT,LONG,201204200950,2617.4,201205041045,2686.2,2,41280,57600,-27240,587942,DT_EnterLong,DT_ExitLong,26303,26746
CFFEX.IF.HOT,SHORT,201205071335,2703.6,201205111025,2663.4,2,24120,34320,-13440,611988,DT_EnterShort,DT_ExitShort,26816,27012
CFFEX.IF.HOT,SHORT,201205141005,2622.2,201205211125,2594.6,2,16560,39720,-16560,628476,DT_EnterShort,DT_ExitShort,27062,27348
CFFEX.IF.HOT,SHORT,201205231305,2584.8,201205281305,2574.6,2,6120,22080,-13800,634525,DT_EnterShort,DT_ExitShort,27458,27620
CFFEX.IF.HOT,LONG,201206010940,2649.2,201206080940,2524.4,2,-74880,6360,-81960,559573,DT_EnterLong,DT_ExitLong,27813,28083
CFFEX.IF.HOT,LONG,201206121335,2548.4,201207050925,2462.2,2,-51720,24960,-70320,507784,DT_EnterLong,DT_ExitLong,28220,29052
