date,closeprofit,positionprofit,dynbalance,fee
20171207,-55319.99999995389,0,-75295.8999999539,19975.899999999998
20171208,-63839.99999995378,9600,-74380.41999995378,20140.42
20171211,-63839.99999995378,51240.00000000006,-32740.419999953723,20140.42
20171212,-26879.999999953565,19800.000000000273,-27332.01999995329,20252.019999999997
20171213,-25199.999999953183,0,-45507.77999995318,20307.779999999995
20171214,-25199.999999953183,-3839.9999999997817,-49403.26999995296,20363.269999999997
20171215,-25199.999999953183,26280.00000000011,-19283.26999995307,20363.269999999997
20171218,-17039.999999952965,-2400,-39913.50999995296,20473.509999999995
20171219,-29039.99999995269,20280.00000000011,-29344.059999952577,20584.059999999994
20171220,-15479.999999952473,0,-36119.709999952465,20639.709999999995
20171221,-15479.999999952473,16200,-19975.669999952468,20695.669999999995
20171222,-15479.999999952473,8519.99999999989,-27655.669999952577,20695.669999999995
20171225,-15479.999999952473,-3480.000000000109,-39655.66999995257,20695.669999999995
20171226,-15479.999999952473,8280.00000000011,-27895.66999995236,20695.669999999995
20171227,-21359.99999995231,36840.00000000006,-5327.419999952246,20807.419999999995
20171228,-21359.99999995231,13680.00000000011,-28487.419999952195,20807.419999999995
20171229,-21359.99999995231,7800,-34367.419999952304,20807.419999999995
20180102,-21359.99999995231,-30719.99999999989,-72887.4199999522,20807.419999999995
20180103,-21359.99999995231,-41280.00000000011,-83447.41999995241,20807.419999999995
20180104,-71159.99999995231,0,-92024.4899999523,20864.489999999994
20180105,-71159.99999995231,7439.999999999782,-84641.55999995253,20921.559999999994
20180108,-71159.99999995231,16800,-75281.55999995231,20921.559999999994
20180109,-71159.99999995231,36959.99999999967,-55121.55999995263,20921.559999999994
20180110,-71159.99999995231,45839.99999999978,-46241.55999995253,20921.559999999994
20180111,-33359.99999995231,3719.999999999891,-50677.48999995242,21037.489999999994
20180112,-30719.999999951986,3719.999999999891,-48153.80999995209,21153.809999999994
20180115,-30719.999999951986,359.9999999996726,-51513.80999995231,21153.809999999994
20180116,-16559.999999951768,0,-37772.409999951764,21212.409999999993
20180117,-16559.999999951768,1319.9999999998909,-36511.09999995187,21271.09999999999
20180118,-34679.99999995166,-10439.999999999782,-66509.02999995142,21389.02999999999
20180119,-34679.99999995166,-24600,-80669.02999995166,21389.02999999999
20180122,-34679.99999995166,-55319.99999999989,-111389.02999995154,21389.02999999999
20180123,-34679.99999995166,-82439.99999999978,-138509.02999995142,21389.02999999999
20180124,-117599.99999995154,0,-139049.75999995152,21449.75999999999
20180125,-128519.99999995143,-14519.99999999989,-164671.4499999513,21631.449999999993
20180126,-140039.9999999513,-8639.999999999782,-170432.3599999511,21752.359999999993
20180129,-140039.9999999513,40920.00000000044,-120872.35999995086,21752.359999999993
20180130,-140039.9999999513,69480.00000000012,-92312.35999995118,21752.359999999993
20180131,-90119.99999995087,0,-112049.52999995087,21929.529999999995
20180201,-90119.99999995087,9720.000000000437,-102388.25999995043,21988.259999999995
20180202,-91679.99999995055,0,-113727.01999995054,22047.019999999993
20180205,-91679.99999995055,0,-113727.01999995054,22047.019999999993
20180206,-91679.99999995055,49200,-64584.999999950545,22104.999999999993
20180207,-83399.99999995044,28560.00000000022,-77058.95999995021,22218.959999999992
20180208,-83399.99999995044,44280.00000000011,-61338.95999995032,22218.959999999992
20180209,-83399.99999995044,177600.00000000026,71981.04000004983,22218.959999999992
20180212,59760.0000000498,0,37488.1600000498,22271.839999999993
20180213,59760.0000000498,0,37488.1600000498,22271.839999999993
20180214,59760.0000000498,13200.000000000273,50633.92000005008,22326.079999999994
20180222,59760.0000000498,57000.00000000028,94433.92000005007,22326.079999999994
20180223,59760.0000000498,71520.00000000016,108953.92000004995,22326.079999999994
20180226,59760.0000000498,106680.00000000012,144113.92000004993,22326.079999999994
20180227,144360.00000005006,0,121977.73000005007,22382.269999999993
20180228,144360.00000005006,5160.000000000218,127082.3800000503,22437.61999999999
20180301,131880.0000000505,0,109386.7500000505,22493.249999999993
20180302,131880.0000000505,0,109386.7500000505,22493.249999999993
20180305,111840.00000005071,0,89235.77000005072,22604.229999999992
20180306,111840.00000005071,29760.00000000022,118940.37000005094,22659.629999999994
20180307,111840.00000005071,-2999.999999999727,86180.370000051,22659.629999999994
