code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
DCE.i.HOT,SHORT,201601150905,309.5,201601151500,305,1,450,450,-150,-1283.94,right_long_entry,收盘平仓,36699,36743
SHFE.rb.HOT,SHORT,201601281350,1835,201601281500,1815,1,200,210,-20,-1089.54,left_short_entry,收盘平仓,37566,37580
DCE.i.HOT,LONG,201601281350,323,201601281500,318,1,-500,100,-500,-1590.49,right_short_entry,收盘平仓,37566,37580
SHFE.rb.HOT,LONG,201602160005,1875,201602161500,1865,1,-100,40,-140,-1696.28,left_long_entry,收盘平仓,38220,38276
DCE.i.HOT,SHORT,201602160905,340,201602161500,338.5,1,150,250,-150,-1547.3,right_long_entry,收盘平仓,38232,38276
SHFE.rb.HOT,SHORT,201602230005,1949,201602231500,1927,1,220,280,-20,-1333.43,left_short_entry,收盘平仓,38685,38741
DCE.i.HOT,LONG,201602230905,375,201602231500,369,1,-600,0,-1050,-1934.54,right_short_entry,收盘平仓,38697,38741
SHFE.rb.HOT,SHORT,201603090005,2056,201603091500,2088,1,-320,210,-670,-2261.2,left_short_entry,收盘平仓,39708,39764
DCE.i.HOT,LONG,201603090905,418,201603091500,424,1,600,1850,-1050,-1662.47,right_short_entry,收盘平仓,39720,39764
SHFE.rb.HOT,SHORT,201603240005,2138,201603241500,2112,1,260,320,-330,-1409.07,left_short_entry,收盘平仓,40731,40787
DCE.i.HOT,LONG,201603240905,391.5,201603241500,390,1,-150,900,-150,-1560.24,right_short_entry,收盘平仓,40743,40787
SHFE.rb.HOT,LONG,201604050910,2189,201604051500,2187,1,-20,130,-370,-1586.92,left_long_entry,收盘平仓,41347,41390
DCE.i.HOT,SHORT,201604050910,383,201604051500,380,1,300,1100,-150,-1288.06,right_long_entry,收盘平仓,41347,41390
SHFE.rb.HOT,LONG,201604090005,2245,201604111500,2294,1,490,690,-10,-804.93,left_long_entry,收盘平仓,41706,41762
DCE.i.HOT,SHORT,201604110905,388,201604111500,388.5,1,-50,450,-650,-856.1,right_long_entry,收盘平仓,41718,41762
SHFE.rb.HOT,SHORT,201605031425,2447,201605031500,2465,1,-180,50,-190,-1043.65,left_short_entry,收盘平仓,43102,43109
DCE.i.HOT,LONG,201605031425,437.5,201605031500,446,1,850,900,-50,-194.99,right_short_entry,收盘平仓,43102,43109
SHFE.rb.HOT,SHORT,201605181040,2124,201605181500,2054,1,700,880,-90,498.51,left_short_entry,收盘平仓,43840,43868
DCE.i.HOT,LONG,201605181040,388,201605181500,372,1,-1600,400,-2000,-1102.61,right_short_entry,收盘平仓,43840,43868
SHFE.rb.HOT,SHORT,201605230910,1973,201605231500,1949,1,240,430,-60,-868.65,left_short_entry,收盘平仓,44032,44075
DCE.i.HOT,LONG,201605230910,353.5,201605231500,352.5,1,-100,150,-350,-969.71,right_short_entry,收盘平仓,44032,44075
SHFE.rb.HOT,LONG,201606081405,2092,201606081500,2095,1,30,130,-60,-946.1,left_long_entry,收盘平仓,44892,44903
DCE.i.HOT,SHORT,201606081405,366.5,201606081500,366.5,1,-0,100,-250,-947.2,right_long_entry,收盘平仓,44892,44903
SHFE.rb.HOT,SHORT,201606291400,2241,201606291500,2242,1,-10,50,-90,-964.18,left_short_entry,收盘平仓,45764,45776
DCE.i.HOT,LONG,201606291400,417,201606291500,418.5,1,150,300,-50,-815.44,right_short_entry,收盘平仓,45764,45776
SHFE.rb.HOT,LONG,201606301340,2324,201606301500,2338,1,140,210,-290,-682.66,left_long_entry,收盘平仓,45829,45845
DCE.i.HOT,SHORT,201606301340,426.5,201606301500,428.5,1,-200,600,-300,-883.95,right_long_entry,收盘平仓,45829,45845
SHFE.rb.HOT,LONG,201607010910,2339,201607011500,2344,1,50,290,-300,-841.16,left_long_entry,收盘平仓,45871,45914
DCE.i.HOT,SHORT,201607010910,422,201607011500,421,1,100,1000,-200,-742.42,right_long_entry,收盘平仓,45871,45914
SHFE.rb.HOT,SHORT,201607180910,2431,201607181500,2362,1,690,690,-130,-59.9,left_short_entry,收盘平仓,46630,46673
DCE.i.HOT,LONG,201607180910,447.5,201607181500,431,1,-1650,350,-1650,-1711.19,right_short_entry,收盘平仓,46630,46673
SHFE.rb.HOT,SHORT,201607190910,2340,201607191500,2303,1,370,760,-170,-1348.42,left_short_entry,收盘平仓,46699,46742
DCE.i.HOT,LONG,201607190910,432,201607191500,425,1,-700,300,-1150,-2049.7,right_short_entry,收盘平仓,46699,46742
SHFE.rb.HOT,SHORT,201607220910,2356,201607221500,2316,1,400,590,-150,-1657.03,left_short_entry,收盘平仓,46906,46949
DCE.i.HOT,LONG,201607220910,441.5,201607221500,428.5,1,-1300,450,-1550,-2958.32,right_short_entry,收盘平仓,46906,46949
SHFE.rb.HOT,LONG,201607270935,2446,201607271500,2397,1,-490,30,-730,-3455.95,left_long_entry,收盘平仓,47118,47156
DCE.i.HOT,SHORT,201607270935,463,201607271500,460.5,1,250,1300,-100,-3207.33,right_long_entry,收盘平仓,47118,47156
SHFE.rb.HOT,LONG,201607280925,2474,201607281500,2484,1,100,290,-120,-3115.08,left_long_entry,收盘平仓,47185,47225
DCE.i.HOT,SHORT,201607280925,466.5,201607281500,473,1,-650,100,-800,-3766.5,right_long_entry,收盘平仓,47185,47225
SHFE.rb.HOT,LONG,201608101120,2591,201608101500,2586,1,-50,70,-280,-3824.64,left_long_entry,收盘平仓,47826,47846
DCE.i.HOT,SHORT,201608101120,494,201608101500,493,1,100,600,-250,-3726.12,right_long_entry,收盘平仓,47826,47846
