code,target,sigprice,gentime,usertag
SHFE.rb.HOT,-1,2125,20160518103500000,left_short_entry
DCE.i.HOT,1,388.5,20160518103500000,right_short_entry
SHFE.rb.HOT,0,2054,20160518145500000,收盘平仓
DCE.i.HOT,0,372,20160518145500000,收盘平仓
SHFE.rb.HOT,-1,1974,20160523090500000,left_short_entry
DCE.i.HOT,1,354,20160523090500000,right_short_entry
SHFE.rb.HOT,0,1949,20160523145500000,收盘平仓
DCE.i.HOT,0,352.5,20160523145500000,收盘平仓
SHFE.rb.HOT,1,2092,20160608140000000,left_long_entry
DCE.i.HOT,-1,366.5,20160608140000000,right_long_entry
SHFE.rb.HOT,0,2094,20160608145500000,收盘平仓
DCE.i.HOT,0,366.5,20160608145500000,收盘平仓
SHFE.rb.HOT,-1,2241,20160629135500000,left_short_entry
DCE.i.HOT,1,417.5,20160629135500000,right_short_entry
SHFE.rb.HOT,0,2242,20160629145500000,收盘平仓
DCE.i.HOT,0,418.5,20160629145500000,收盘平仓
SHFE.rb.HOT,1,2323,20160630133500000,left_long_entry
DCE.i.HOT,-1,426,20160630133500000,right_long_entry
SHFE.rb.HOT,0,2337,20160630145500000,收盘平仓
DCE.i.HOT,0,428.5,20160630145500000,收盘平仓
SHFE.rb.HOT,1,2340,20160701090500000,left_long_entry
DCE.i.HOT,-1,422,20160701090500000,right_long_entry
SHFE.rb.HOT,0,2345,20160701145500000,收盘平仓
DCE.i.HOT,0,420.5,20160701145500000,收盘平仓
SHFE.rb.HOT,-1,2431,20160718090500000,left_short_entry
DCE.i.HOT,1,448,20160718090500000,right_short_entry
SHFE.rb.HOT,0,2362,20160718145500000,收盘平仓
DCE.i.HOT,0,431,20160718145500000,收盘平仓
SHFE.rb.HOT,-1,2340,20160719090500000,left_short_entry
DCE.i.HOT,1,432,20160719090500000,right_short_entry
SHFE.rb.HOT,0,2303,20160719145500000,收盘平仓
DCE.i.HOT,0,425,20160719145500000,收盘平仓
SHFE.rb.HOT,-1,2357,20160722090500000,left_short_entry
DCE.i.HOT,1,442,20160722090500000,right_short_entry
SHFE.rb.HOT,0,2315,20160722145500000,收盘平仓
DCE.i.HOT,0,428.5,20160722145500000,收盘平仓
SHFE.rb.HOT,1,2445,20160727093000000,left_long_entry
DCE.i.HOT,-1,463.5,20160727093000000,right_long_entry
SHFE.rb.HOT,0,2397,20160727145500000,收盘平仓
DCE.i.HOT,0,460.5,20160727145500000,收盘平仓
SHFE.rb.HOT,1,2473,20160728092000000,left_long_entry
DCE.i.HOT,-1,466.5,20160728092000000,right_long_entry
SHFE.rb.HOT,0,2483,20160728145500000,收盘平仓
DCE.i.HOT,0,472.5,20160728145500000,收盘平仓
SHFE.rb.HOT,1,2591,20160810111500000,left_long_entry
DCE.i.HOT,-1,494,20160810111500000,right_long_entry
SHFE.rb.HOT,0,2586,20160810145500000,收盘平仓
DCE.i.HOT,0,493.5,20160810145500000,收盘平仓
SHFE.rb.HOT,-1,2564,20160818094000000,left_short_entry
DCE.i.HOT,1,437.5,20160818094000000,right_short_entry
SHFE.rb.HOT,0,2546,20160818145500000,收盘平仓
DCE.i.HOT,0,434.5,20160818145500000,收盘平仓
SHFE.rb.HOT,-1,2466,20160829090500000,left_short_entry
DCE.i.HOT,1,420.5,20160829090500000,right_short_entry
SHFE.rb.HOT,0,2476,20160829145500000,收盘平仓
DCE.i.HOT,0,422,20160829145500000,收盘平仓
SHFE.rb.HOT,-1,2444,20160830110000000,left_short_entry
DCE.i.HOT,1,420.5,20160830110000000,right_short_entry
SHFE.rb.HOT,0,2425,20160830145500000,收盘平仓
