code,target,sigprice,gentime,usertag
DCE.i.HOT,0,505,20170414145500000,收盘平仓
SHFE.rb.HOT,1,2876,20170420090500000,left_long_entry
DCE.i.HOT,-1,483,20170420090500000,right_long_entry
SHFE.rb.HOT,0,2865,20170420145500000,收盘平仓
DCE.i.HOT,0,483.5,20170420145500000,收盘平仓
SHFE.rb.HOT,1,2982,20170427090500000,left_long_entry
DCE.i.HOT,-1,499.5,20170427090500000,right_long_entry
SHFE.rb.HOT,0,3010,20170427145500000,收盘平仓
DCE.i.HOT,0,504,20170427145500000,收盘平仓
SHFE.rb.HOT,1,3068,20170428090500000,left_long_entry
DCE.i.HOT,-1,507.5,20170428090500000,right_long_entry
SHFE.rb.HOT,0,3085,20170428145500000,收盘平仓
DCE.i.HOT,0,514,20170428145500000,收盘平仓
SHFE.rb.HOT,1,2971,20170609090500000,left_long_entry
DCE.i.HOT,-1,423.5,20170609090500000,right_long_entry
SHFE.rb.HOT,0,3007,20170609145500000,收盘平仓
DCE.i.HOT,0,422,20170609145500000,收盘平仓
SHFE.rb.HOT,1,3011,20170612090500000,left_long_entry
DCE.i.HOT,-1,432,20170612090500000,right_long_entry
SHFE.rb.HOT,0,3034,20170612145500000,收盘平仓
DCE.i.HOT,0,435,20170612145500000,收盘平仓
SHFE.rb.HOT,1,3585,20170713090500000,left_long_entry
DCE.i.HOT,-1,486.5,20170713090500000,right_long_entry
SHFE.rb.HOT,0,3648,20170713145500000,收盘平仓
DCE.i.HOT,0,489.5,20170713145500000,收盘平仓
SHFE.rb.HOT,1,3794,20170804090500000,left_long_entry
DCE.i.HOT,-1,550,20170804090500000,right_long_entry
SHFE.rb.HOT,0,3894,20170804145500000,收盘平仓
DCE.i.HOT,0,552,20170804145500000,收盘平仓
SHFE.rb.HOT,1,3928,20170810090500000,left_long_entry
DCE.i.HOT,-1,557,20170810090500000,right_long_entry
SHFE.rb.HOT,0,3979,20170810145500000,收盘平仓
DCE.i.HOT,0,565.5,20170810145500000,收盘平仓
SHFE.rb.HOT,1,3731,20170815090500000,left_long_entry
DCE.i.HOT,-1,519,20170815090500000,right_long_entry
SHFE.rb.HOT,0,3754,20170815145500000,收盘平仓
DCE.i.HOT,0,530,20170815145500000,收盘平仓
SHFE.rb.HOT,1,3727,20170816090500000,left_long_entry
DCE.i.HOT,-1,524.5,20170816090500000,right_long_entry
SHFE.rb.HOT,0,3708,20170816145500000,收盘平仓
DCE.i.HOT,0,522,20170816145500000,收盘平仓
SHFE.rb.HOT,1,4150,20170904090500000,left_long_entry
DCE.i.HOT,-1,592,20170904090500000,right_long_entry
SHFE.rb.HOT,0,4084,20170904145500000,收盘平仓
DCE.i.HOT,0,571.5,20170904145500000,收盘平仓
SHFE.rb.HOT,1,3664,20170928090500000,left_long_entry
DCE.i.HOT,-1,464.5,20170928090500000,right_long_entry
SHFE.rb.HOT,0,3605,20170928145500000,收盘平仓
DCE.i.HOT,0,448.5,20170928145500000,收盘平仓
SHFE.rb.HOT,1,3574,20171012090500000,left_long_entry
DCE.i.HOT,-1,433.5,20171012090500000,right_long_entry
SHFE.rb.HOT,0,3650,20171012145500000,收盘平仓
DCE.i.HOT,0,440.5,20171012145500000,收盘平仓
SHFE.rb.HOT,1,3688,20171013090500000,left_long_entry
DCE.i.HOT,-1,443.5,20171013090500000,right_long_entry
SHFE.rb.HOT,0,3794,20171013145500000,收盘平仓
DCE.i.HOT,0,453.5,20171013145500000,收盘平仓
SHFE.rb.HOT,1,3848,20171219090500000,left_long_entry
DCE.i.HOT,-1,536,20171219090500000,right_long_entry
SHFE.rb.HOT,0,3787,20171219145500000,收盘平仓
DCE.i.HOT,0,529,20171219145500000,收盘平仓
SHFE.rb.HOT,1,3820,20171220090500000,left_long_entry
DCE.i.HOT,-1,530,20171220090500000,right_long_entry
SHFE.rb.HOT,0,3805,20171220145500000,收盘平仓
DCE.i.HOT,0,529.5,20171220145500000,收盘平仓
SHFE.rb.HOT,1,3821,20171221090500000,left_long_entry
DCE.i.HOT,-1,531.5,20171221090500000,right_long_entry
SHFE.rb.HOT,0,3852,20171221145500000,收盘平仓
DCE.i.HOT,0,532.5,20171221145500000,收盘平仓
SHFE.rb.HOT,1,3806,20171229090500000,left_long_entry
DCE.i.HOT,-1,533,20171229090500000,right_long_entry
SHFE.rb.HOT,0,3795,20171229145500000,收盘平仓
DCE.i.HOT,0,531,20171229145500000,收盘平仓
SHFE.rb.HOT,1,4218,20180810090500000,left_long_entry
DCE.i.HOT,-1,513.5,20180810090500000,right_long_entry
SHFE.rb.HOT,0,4216,20180810145500000,收盘平仓
DCE.i.HOT,0,509,20180810145500000,收盘平仓
SHFE.rb.HOT,1,4357,20180814090500000,left_long_entry
DCE.i.HOT,-1,514,20180814090500000,right_long_entry
SHFE.rb.HOT,0,4323,20180814145500000,收盘平仓
DCE.i.HOT,0,505,20180814145500000,收盘平仓
SHFE.rb.HOT,1,4050,20180926090500000,left_long_entry
DCE.i.HOT,-1,499,20180926090500000,right_long_entry
SHFE.rb.HOT,0,4069,20180926145500000,收盘平仓
DCE.i.HOT,0,502,20180926145500000,收盘平仓
SHFE.rb.HOT,1,3746,20190410090500000,left_long_entry
DCE.i.HOT,-1,646.5,20190410090500000,right_long_entry
SHFE.rb.HOT,0,3774,20190410145500000,收盘平仓
DCE.i.HOT,0,652.5,20190410145500000,收盘平仓
SHFE.rb.HOT,1,3779,20190411090500000,left_long_entry
DCE.i.HOT,-1,651.5,20190411090500000,right_long_entry
SHFE.rb.HOT,0,3784,20190411145500000,收盘平仓
DCE.i.HOT,0,653,20190411145500000,收盘平仓
SHFE.rb.HOT,1,3753,20190412090500000,left_long_entry
DCE.i.HOT,-1,650,20190412090500000,right_long_entry
SHFE.rb.HOT,0,3787,20190412145500000,收盘平仓
DCE.i.HOT,0,651,20190412145500000,收盘平仓
SHFE.rb.HOT,1,3824,20190415090500000,left_long_entry
DCE.i.HOT,-1,649.5,20190415090500000,right_long_entry
SHFE.rb.HOT,0,3825,20190415145500000,收盘平仓
DCE.i.HOT,0,651,20190415145500000,收盘平仓
SHFE.rb.HOT,1,3818,20190416090500000,left_long_entry
DCE.i.HOT,-1,651.5,20190416090500000,right_long_entry
SHFE.rb.HOT,0,3787,20190416145500000,收盘平仓
DCE.i.HOT,0,637.5,20190416145500000,收盘平仓
SHFE.rb.HOT,1,3806,20190422090500000,left_long_entry
DCE.i.HOT,-1,636,20190422090500000,right_long_entry
SHFE.rb.HOT,0,3767,20190422145500000,收盘平仓
DCE.i.HOT,0,628.5,20190422145500000,收盘平仓
SHFE.rb.HOT,1,3715,20190617090500000,left_long_entry
DCE.i.HOT,-1,766,20190617090500000,right_long_entry
SHFE.rb.HOT,0,3703,20190617145500000,收盘平仓
DCE.i.HOT,0,769,20190617145500000,收盘平仓
SHFE.rb.HOT,1,3939,20190624090500000,left_long_entry
DCE.i.HOT,-1,800,20190624090500000,right_long_entry
SHFE.rb.HOT,0,3911,20190624145500000,收盘平仓
DCE.i.HOT,0,817.5,20190624145500000,收盘平仓
SHFE.rb.HOT,1,4053,20190628090500000,left_long_entry
DCE.i.HOT,-1,834.5,20190628090500000,right_long_entry
SHFE.rb.HOT,0,4060,20190628145500000,收盘平仓
