[2024.07.07 10:38:45 - info ] left_close =2314, right_close = 415,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2339, right_close = 423,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2341, right_close = 421.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2351, right_close = 432,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2348, right_close = 433,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2357, right_close = 431,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2355, right_close = 428,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2359, right_close = 432,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2374, right_close = 442,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2376, right_close = 442,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2346, right_close = 436,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2358, right_close = 441.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2333, right_close = 435,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2332, right_close = 432,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2340, right_close = 436,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2346, right_close = 453,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2351, right_close = 455,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2292, right_close = 448,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2277, right_close = 449,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2242, right_close = 437.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2232, right_close = 426.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2248, right_close = 429.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2237, right_close = 431.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2240, right_close = 443.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2213, right_close = 434,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2214, right_close = 436.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2173, right_close = 427,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
